HR,SB,wRC+,Position,,,,
16,2,88.00251858,1B,,,,
22,6,112.1140733,1B,,,,
12,5,106.3626294,1B,,,,PA = play appearances
35,1,140.8535257,1B,,,,HR= home runs
31,8,135.1517922,1B,,,,SB = stolen bases
31,12,139.531949,1B,,,,OBP = percentage how many times got on base 
15,2,105.4062045,1B,,,,"ISO = isolated power, how much power player has "
21,0,110.6338245,1B,,,,wRC+ = how good you are on offense 
28,2,111.721215,1B,,,,below 100 is bad 
28,0,126.6470815,1B,,,,
25,0,120.72223,1B,,,,
24,1,126.9651835,1B,,,,
10,0,88.27697853,1B,,,,
39,4,151.2837997,1B,,,,
27,1,126.9668444,1B,,,,average for each position 
27,3,128.4414244,1B,,,,
14,0,136.548704,1B,,,,"boxplot and histogram of those three stats across all positions. Avgs, outliers"
26,2,123.6465051,1B,,,,
15,0,132.0295901,1B,,,,"barplot, histogram, and boxplot of each stat per position"
34,3,130.4384019,1B,,,,
15,8,113.7710688,1B,,,,
41,3,170.3062528,1B,,,,
22,2,100.9183102,1B,,,,
12,0,63.79571853,C,,,,
11,3,84.85023008,C,,,,
33,1,131.3406384,C,,,,
18,0,146.5559828,C,,,,
5,8,74.91891996,C,,,,
22,0,106.213523,C,,,,
21,5,107.2866901,C,,,,
16,12,113.581491,C,,,,
11,0,107.8552451,C,,,,
8,0,97.60917874,C,,,,
11,0,89.76025316,C,,,,
24,2,134.0286753,C,,,,
17,0,100.2989317,C,,,,
31,5,129.8639697,2B,,,,
14,9,110.6944053,2B,,,,
19,1,89.75149223,2B,,,,
9,32,86.69368284,2B,,,,
14,12,110.799988,2B,,,,
41,14,134.6032417,2B,,,,
25,7,118.3844657,2B,,,,
5,9,116.3412259,2B,,,,
30,20,107.0599139,2B,,,,
2,13,71.64790304,2B,,,,
35,7,133.1849418,2B,,,,
11,7,92.16732993,2B,,,,
8,20,92.27817096,2B,,,,
21,12,122.5136062,2B,,,,
24,11,139.8671277,SS,,,,
13,3,69.97630265,SS,,,,
9,13,99.66092938,SS,,,,
3,12,73.03164668,SS,,,,
8,5,82.33810403,SS,,,,
3,1,56.825177,SS,,,,
5,7,63.70667924,SS,,,,
21,5,128.8607741,SS,,,,
24,20,102.15498,SS,,,,
20,10,103.8843402,SS,,,,
24,13,102.2306257,SS,,,,
16,1,149.2803692,SS,,,,
26,0,134.3531669,SS,,,,
15,2,99.35124935,SS,,,,
17,18,119.9445317,SS,short stop,,,
9,3,103.0582586,SS,,,,
9,12,96.36959565,SS,,,,
25,5,120.7356223,SS,,,,
18,22,140.5467074,SS,,,,
8,20,84.84733423,SS,,,,
7,12,87.27279775,SS,,,,
5,6,59.75017841,SS,,,,
27,9,98.98671685,SS,,,,
2,21,104.4835088,SS,,,,
28,25,128.5799332,SS,,,,
34,23,162.9936296,SS,,,,
26,2,126.2845647,3B,,,,
33,2,112.4339404,3B,,,,
34,3,102.9240864,3B,,,,
27,12,121.0780371,3B,,,,
24,0,93.9970451,3B,,,,
31,24,136.2382334,3B,,,,
15,0,118.4602372,3B,,,,
16,5,104.3875883,3B,,,,
27,3,100.2743514,3B,,,,
13,3,121.3906334,3B,,,,
38,5,136.813718,3B,,,,
33,0,140.1438589,3B,,,,
8,2,87.70569865,LF,,,,
14,12,106.3319034,LF,,,,
25,6,107.2224504,LF,,,,
10,9,108.2686485,LF,,,,
9,7,106.9491229,LF,,,,
24,1,155.6384117,LF,,,,
6,20,76.00629362,LF,,,,
10,2,85.18050715,LF,,,,
34,15,148.131166,LF,,,,
17,8,108.1041804,LF,,,,
18,1,121.4966778,LF,,,,
12,47,132.4398552,CF,,,,
10,5,82.434276,CF,,,,
12,14,77.38789218,CF,,,,
4,30,98.25419677,CF,,,,
29,30,136.4910573,CF,,,,
16,9,109.9618874,CF,,,,
15,13,105.3497158,CF,,,,
23,5,146.3159512,CF,,,,
29,8,112.5458549,RF,,,,
13,3,94.36423481,RF,,,,
14,7,108.4005087,RF,,,,
35,13,170.2190335,RF,,,,
34,3,140.5848665,RF,,,,
25,9,140.0001839,RF,,,,
13,7,123.2048437,RF,,,,
17,0,96.16997595,RF,,,,
31,1,119.4834224,RF,,,,
18,2,107.3789216,RF,,,,
29,1,116.3848255,RF,,,,
30,4,161.9072225,RF,,,,
13,1,104.6172002,RF,,,,
27,12,139.9614711,RF,,,,
28,9,164.9511896,RF,,,,
